Participant,GSR Mean,GSR SD,GSR Range,Clip,Label,Label_Name
101,4.735926034557506,0.2861489792032253,1.4446895720319208,0,4,Baseline
101,3.9029568637408154,0.33574808470695366,1.524781271336638,1,1,"Low Arousal, High Valence"
101,4.585550397041815,0.4875073867179922,2.3662714734400336,2,2,"Low Arousal, Low Valence"
101,3.7622558574874594,0.34639550151343357,1.5015297965032417,3,0,"High Arousal, High Valence"
101,4.633174043239838,0.3034105755141476,1.5825277378159281,4,1,"Low Arousal, High Valence"
101,4.716624202000656,0.5187749747923044,2.4476789912190675,5,0,"High Arousal, High Valence"
101,4.466742354397599,0.40985109423094707,1.8981457778545345,6,3,"High Arousal, Low Valence"
101,3.9998434066247506,0.5564803658607789,2.6447276079632296,7,1,"Low Arousal, High Valence"
101,3.898125108168189,0.24371378274333277,0.9086059806481557,8,2,"Low Arousal, Low Valence"
101,4.840843014241734,0.37586659227291486,2.2547096408350917,9,2,"Low Arousal, Low Valence"
101,4.668915420994303,0.2744964937427317,1.4490877630869106,10,0,"High Arousal, High Valence"
101,4.2056464350392115,0.24323478707361296,1.2170988876937976,11,3,"High Arousal, Low Valence"
102,2.7016940177079105,0.1673481723813461,0.6194510501181156,0,4,Baseline
102,1.8082115746870298,0.10722161866639594,0.35446383322853947,1,1,"Low Arousal, High Valence"
102,3.602150667106799,0.1904283047437322,1.1500988706284838,2,2,"Low Arousal, Low Valence"
102,1.6011565484454475,0.06092551539194314,0.24517016716564877,3,0,"High Arousal, High Valence"
102,1.7004765210042354,0.07488902886601925,0.26188623247262566,4,1,"Low Arousal, High Valence"
102,1.6138989851047725,0.036161297186517144,0.13123607976628637,5,0,"High Arousal, High Valence"
102,3.0026646809124564,0.7494623360112764,2.1005091584086757,6,3,"High Arousal, Low Valence"
102,1.4182629949340029,0.04218233303171927,0.19148171440581208,7,1,"Low Arousal, High Valence"
102,1.8057941345326145,0.07137395552873121,0.2531975068228993,8,2,"Low Arousal, Low Valence"
102,2.514946467196516,0.08049084338860306,0.2859666810021695,9,2,"Low Arousal, Low Valence"
102,1.9048414613502263,0.13015846556189145,0.5673190209121504,10,0,"High Arousal, High Valence"
102,3.328581662788952,0.2428603220473428,0.8942427421116967,11,3,"High Arousal, Low Valence"
102,3.276914903322326,0.2795109451782255,1.0935694851771265,12,3,"High Arousal, Low Valence"
103,19.382000438464406,0.6769608661668391,3.339234488799125,0,4,Baseline
103,22.616111836786644,0.866559542013103,4.23391522409376,1,1,"Low Arousal, High Valence"
103,24.060584182981433,1.1168635026126947,5.254454494212542,2,2,"Low Arousal, Low Valence"
103,22.691081187249683,1.3873776190760179,5.894063450788465,3,0,"High Arousal, High Valence"
103,23.136721866644958,0.5293317898735189,3.442188307150669,4,1,"Low Arousal, High Valence"
103,23.64095807416404,0.9979102162396554,4.387914294937204,5,0,"High Arousal, High Valence"
103,28.068078266196775,0.7817186881930361,4.932794328040156,6,3,"High Arousal, Low Valence"
103,22.047280220683813,1.1077339437529432,5.501614577435824,7,1,"Low Arousal, High Valence"
103,23.36905306420472,0.7036505908696568,3.08359357305676,8,2,"Low Arousal, Low Valence"
103,24.853654682167733,0.9365144459571838,3.9067019811281654,9,2,"Low Arousal, Low Valence"
103,25.78013300954558,0.8841972710672237,4.059766544760496,10,0,"High Arousal, High Valence"
103,27.024789997349057,0.6552678295578342,2.858134046798039,11,3,"High Arousal, Low Valence"
103,25.042449543948447,1.4028404058044237,5.331338167008468,12,3,"High Arousal, Low Valence"
104,2.170532587671972,0.27747548509899084,0.9599865338437801,0,4,Baseline
104,3.560137963473523,0.14052811313320174,0.7005750262935106,1,1,"Low Arousal, High Valence"
104,4.9799547674333535,0.5249504229406294,3.10268735521344,2,2,"Low Arousal, Low Valence"
104,5.567287174720768,0.6684442871052498,3.18326797504593,3,0,"High Arousal, High Valence"
104,3.0794796582436366,0.1120172430009211,0.3894837932035382,4,1,"Low Arousal, High Valence"
104,4.072855255968862,0.5347297327929288,2.339243814241096,5,0,"High Arousal, High Valence"
104,5.407351525943327,0.9058601485687331,4.579753164986613,6,3,"High Arousal, Low Valence"
104,3.232508515374382,0.15996092275882348,0.6511930294006985,7,1,"Low Arousal, High Valence"
104,3.7514650539443117,0.20364438498134363,0.9154771912426791,8,2,"Low Arousal, Low Valence"
104,4.0172848318312075,0.33587314443146643,1.4241224464181506,9,2,"Low Arousal, Low Valence"
104,4.736593444713482,1.1726065759972877,4.950815576173056,10,0,"High Arousal, High Valence"
104,4.2932607691441085,1.0482417398030752,4.6713699498937205,11,3,"High Arousal, Low Valence"
104,4.197330827866083,0.4746543963384194,2.2834764854778182,12,3,"High Arousal, Low Valence"
105,6.897402576317262,0.41628082521881704,2.006382166508649,0,4,Baseline
105,9.118239274679674,0.7422133521298537,3.927168275987217,1,1,"Low Arousal, High Valence"
105,9.30714358142287,0.26763707956821525,1.5077747309926508,2,2,"Low Arousal, Low Valence"
105,7.601812470390375,0.9408079613435713,4.298510310347653,3,0,"High Arousal, High Valence"
105,9.480013600791091,0.7315771749568808,4.333975916927388,4,1,"Low Arousal, High Valence"
105,8.899772550232955,0.8223877382337847,3.921456253177981,5,0,"High Arousal, High Valence"
105,12.668688754587233,1.067067896726188,5.814564857144166,6,3,"High Arousal, Low Valence"
105,9.472050948692171,2.534736832869224,8.118137714188812,7,1,"Low Arousal, High Valence"
105,10.08513433273707,0.8622293047957992,4.86725056965105,8,2,"Low Arousal, Low Valence"
105,10.291718370046441,0.4082840871719021,1.5706002802996188,9,2,"Low Arousal, Low Valence"
105,10.502933600140562,1.1404520145714048,4.596088257526951,10,0,"High Arousal, High Valence"
105,10.218693141765618,1.9664383210696292,6.254745712072783,11,3,"High Arousal, Low Valence"
105,9.114746551294273,0.8041736316726493,2.879838015046241,12,3,"High Arousal, Low Valence"
106,2.9266540379598442,0.6919615880754988,2.4519253957332445,0,4,Baseline
106,2.4003242253392387,0.048237151728346875,0.22268584024940985,1,1,"Low Arousal, High Valence"
106,3.318729371854542,0.1728287885828522,0.925079951498406,2,2,"Low Arousal, Low Valence"
106,5.208759720307748,0.3860436756046153,1.8028638266320405,3,0,"High Arousal, High Valence"
106,1.8854175383255665,0.015017467417367116,0.06999256659120556,4,1,"Low Arousal, High Valence"
106,6.819657332880535,0.8188413656851936,3.6075878994935175,5,0,"High Arousal, High Valence"
106,2.408354139693796,0.29184678357667077,0.9035858847697371,6,3,"High Arousal, Low Valence"
106,2.183883819181423,0.19010981408568678,0.7537348104776402,7,1,"Low Arousal, High Valence"
106,2.355072070089876,0.048015765526202264,0.18687334157417368,8,2,"Low Arousal, Low Valence"
106,2.7267315588948633,0.12832164331196985,0.5678696160829695,9,2,"Low Arousal, Low Valence"
106,7.549122105309037,1.3578386347257279,6.826498544776971,10,0,"High Arousal, High Valence"
106,2.2859794141230596,0.10678108112689254,0.3615548340699717,11,3,"High Arousal, Low Valence"
106,2.1421207449650708,0.027625275179890545,0.1187678327624151,12,3,"High Arousal, Low Valence"
107,6.015028021485096,0.6210417648709993,2.1680949991314913,0,4,Baseline
107,7.769080200754997,0.36643156514163,1.8138957394576654,1,1,"Low Arousal, High Valence"
107,8.739705780521394,0.6302134427838183,3.0392329309935286,2,2,"Low Arousal, Low Valence"
107,6.178054858737502,0.12551566559048827,0.40609980885491925,3,0,"High Arousal, High Valence"
107,6.554705212976271,0.29326396681441125,1.2571271677553204,4,1,"Low Arousal, High Valence"
107,6.596172601894412,0.32659196823126035,1.2086715074034942,5,0,"High Arousal, High Valence"
107,10.082692815674116,1.1326084946820292,5.938847309160968,6,3,"High Arousal, Low Valence"
107,6.837236760926899,0.196511972488739,0.7491209276219424,7,1,"Low Arousal, High Valence"
107,7.6675926767833165,0.1509836748865786,0.6204409050430533,8,2,"Low Arousal, Low Valence"
107,7.873442496618998,0.5453599011462177,2.6092013117515105,9,2,"Low Arousal, Low Valence"
107,8.096595012246318,1.1223597224577757,4.04878252276121,10,0,"High Arousal, High Valence"
107,8.458697444534643,0.5433342985703407,2.2646521431087763,11,3,"High Arousal, Low Valence"
107,6.321207171527961,0.32892043496782786,1.186161880946612,12,3,"High Arousal, Low Valence"
108,6.027373391406684,0.4889194187935437,1.6655619312569687,0,4,Baseline
108,6.897674050527305,0.652293370259363,2.3149374603052824,1,1,"Low Arousal, High Valence"
108,6.7406258094814495,0.6003540883410499,2.5532738798282724,2,2,"Low Arousal, Low Valence"
108,8.030093279011814,0.6057897089626367,2.772321804870944,3,0,"High Arousal, High Valence"
108,8.200017632610091,0.9449842101169301,4.509891037053792,4,1,"Low Arousal, High Valence"
108,7.740221538518659,0.2522741523121989,0.9703948028429528,5,0,"High Arousal, High Valence"
108,7.3370243340650365,0.8066573955931278,2.9539445382242215,6,3,"High Arousal, Low Valence"
108,6.336053557121728,0.6487131623007688,2.2397390338912153,7,1,"Low Arousal, High Valence"
108,6.945239319911888,1.4818039426470957,5.088819515296949,8,2,"Low Arousal, Low Valence"
108,7.29026505803843,0.7601033545907333,3.2937796941372977,9,2,"Low Arousal, Low Valence"
108,8.605132659635169,0.710392307539195,3.385208226416978,10,0,"High Arousal, High Valence"
108,6.960479379219146,0.13984367064637326,0.7305116741655011,11,3,"High Arousal, Low Valence"
108,7.921356242257802,0.36401224224206596,1.5888380619418898,12,3,"High Arousal, Low Valence"
109,23.969816411568818,0.4415974662180973,2.465606965856317,0,4,Baseline
109,18.867042726292425,0.728114165488104,3.3942731294061765,1,1,"Low Arousal, High Valence"
109,20.681430335971463,1.002417599031544,5.5242501337196295,2,2,"Low Arousal, Low Valence"
109,22.952820128669725,1.2274674057157444,4.619087277444766,3,0,"High Arousal, High Valence"
109,17.597075826149165,0.4600908046045624,1.75159511612636,4,1,"Low Arousal, High Valence"
109,21.971576457104437,0.990125530341541,5.192940546225849,5,0,"High Arousal, High Valence"
109,27.52718245919958,1.6117259417957974,6.9526863485232155,6,3,"High Arousal, Low Valence"
109,18.272390514147475,0.7263836673750307,2.720430946206559,7,1,"Low Arousal, High Valence"
109,19.460184222554965,0.6750432997741675,3.780119033022384,8,2,"Low Arousal, Low Valence"
109,20.606508117255117,0.7087891791443498,3.102783323124889,9,2,"Low Arousal, Low Valence"
109,24.78251246067442,1.0316110324750711,4.570912406296419,10,0,"High Arousal, High Valence"
109,27.900434085220656,1.1095669479419443,4.554588977675227,11,3,"High Arousal, Low Valence"
109,25.80803530800532,1.0938453313783665,5.198465638868765,12,3,"High Arousal, Low Valence"
110,8.23305500210879,0.7763892009363125,2.8125901481227915,0,4,Baseline
110,8.98847832639486,0.8203025307872533,4.252435609069886,1,1,"Low Arousal, High Valence"
110,6.738985467145468,0.7861120404944271,4.174830676250562,2,2,"Low Arousal, Low Valence"
110,7.80742040922402,1.0588113974074282,4.6357396108370175,3,0,"High Arousal, High Valence"
