Participant,GSR Mean,GSR SD,GSR Range,Clip,Label,Label_Name,GSR Change
101,4.735926034557506,0.2861489792032253,1.4446895720319208,0,4,Baseline,0.0
101,3.902956863740816,0.3357480847069536,1.524781271336638,1,1,"Low Arousal, High Valence",-0.8329691708166904
101,4.585550397041815,0.4875073867179922,2.3662714734400336,2,2,"Low Arousal, Low Valence",-0.15037563751569127
101,3.7622558574874594,0.3463955015134335,1.5015297965032417,3,0,"High Arousal, High Valence",-0.9736701770700469
101,4.633174043239838,0.3034105755141476,1.582527737815928,4,1,"Low Arousal, High Valence",-0.10275199131766843
101,4.716624202000656,0.5187749747923044,2.4476789912190675,5,0,"High Arousal, High Valence",-0.019301832556850584
101,4.466742354397599,0.409851094230947,1.8981457778545343,6,3,"High Arousal, Low Valence",-0.269183680159907
101,3.999843406624751,0.5564803658607789,2.6447276079632296,7,1,"Low Arousal, High Valence",-0.7360826279327553
101,3.898125108168189,0.2437137827433327,0.9086059806481556,8,2,"Low Arousal, Low Valence",-0.8378009263893174
101,4.840843014241734,0.3758665922729148,2.254709640835092,9,2,"Low Arousal, Low Valence",0.10491697968422731
101,4.668915420994303,0.2744964937427317,1.4490877630869106,10,0,"High Arousal, High Valence",-0.06701061356320359
101,4.205646435039212,0.2432347870736129,1.2170988876937976,11,3,"High Arousal, Low Valence",-0.5302795995182938
102,2.7016940177079105,0.1673481723813461,0.6194510501181156,0,4,Baseline,0.0
102,1.8082115746870295,0.1072216186663959,0.3544638332285394,1,1,"Low Arousal, High Valence",-0.893482443020881
102,3.602150667106799,0.1904283047437322,1.1500988706284838,2,2,"Low Arousal, Low Valence",0.9004566493988886
102,1.6011565484454475,0.0609255153919431,0.2451701671656487,3,0,"High Arousal, High Valence",-1.100537469262463
102,1.7004765210042354,0.0748890288660192,0.2618862324726256,4,1,"Low Arousal, High Valence",-1.001217496703675
102,1.6138989851047725,0.0361612971865171,0.1312360797662863,5,0,"High Arousal, High Valence",-1.087795032603138
